Sequence size,Momentum,decay,Learning rate,Batch Size,Epochs,Neurons,Loss,elapsed_sec
28,0.998993696106424,6.32710945051954E-06,0.048655197890388,12,664,94,-0.002660394177633,5877.05779004097
25,0.991162832330421,8.00221462618993E-06,0.080937107192333,15,1141,45,-0.002673704930226,10445.0259008408
14,0.997166263354595,8.18600038292026E-06,0.082407100907245,20,288,42,-0.00268567200695,1936.51267313957
8,0.996989543714059,8.1064673714901E-06,0.050984288072015,19,619,30,-0.002690337000396,2170.10085058212
16,0.996719031420867,3.75726130300485E-06,0.09651488411588,21,609,17,-0.002740877528341,7759.32401514053
7,0.993329546831398,6.97351540626638E-06,0.095915859626073,5,206,31,-0.002767716961317,2541.59792375565
17,0.990547733950666,7.68294363311767E-06,0.083466830109715,14,946,31,-0.002829041650829,5334.29073643684
22,0.998134716843802,5.89687266851905E-06,0.063777946475222,17,367,64,-0.00286216562286,3448.24531388283
11,0.995543671735319,6.67585933980403E-06,0.096270285759464,16,1016,42,-0.002864559571903,7073.44247817993
16,0.998360069834597,1.79432800563357E-06,0.09803823453554,23,1182,40,-0.002874947354636,20035.2860205173
9,0.993527121558826,2.7745781739517E-06,0.096439327704303,13,201,31,-0.002878600057161,2704.19470763206
8,0.99843411063119,1.00766966475552E-06,0.098636059637886,20,1069,57,-0.002882847326347,9911.99280714989
9,0.998935766139203,2.47391702114476E-06,0.096481703347791,17,913,63,-0.002885864242812,6424.08045554161
5,0.996926257265654,3.83795635352331E-06,0.074227144224228,17,399,88,-0.002889245577872,839.077611684799
13,0.998655362040233,8.1730481406152E-06,0.078733146402758,17,475,28,-0.002943938692766,2484.73574972153
22,0.997800474292122,1.36357358386533E-06,0.097307815273673,16,915,33,-0.003010362082605,11041.8711929321
22,0.998178947123484,1.74555821329099E-06,0.099982415734962,27,844,47,-0.003047838483309,20875.7076849937
9,0.997342213889867,1.64658929093036E-06,0.098152339608638,11,1051,16,-0.003076825364703,8972.173402071
8,0.990406133823274,1.47562068800751E-06,0.099363474082874,11,868,34,-0.003215672690728,6495.17035531998
23,0.99212227050287,7.04553928872432E-06,0.007239969406054,23,508,36,-0.003224382509972,6471.6027238369
11,0.998432769340195,1.83583358731064E-06,0.097414312044149,21,819,38,-0.003257566562174,10528.7436177731
5,0.99814283809109,5.08074630189895E-06,0.096993199675842,6,220,71,-0.003276213229348,2440.67468285561
12,0.992160848749264,1.75697894096453E-06,0.088876018831244,20,1155,83,-0.003294178372171,7060.5773203373
7,0.995129092133527,1.54743424853795E-06,0.097919958578967,20,945,47,-0.00329616991398,10315.4854507446
